first,firstbreed,breedage,firstreturn,returnage
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,13,4
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,17,8,13,4
9,17,8,12,3
9,14,5,13,4
9,19,10,15,6
9,NA,NA,12,3
9,16,7,12,3
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,15,6,12,3
9,16,7,13,4
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,16,7,12,3
9,NA,NA,NA,NA
9,NA,NA,11,2
9,NA,NA,13,4
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,15,6,12,3
9,NA,NA,NA,NA
9,NA,NA,13,4
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,16,7,13,4
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,14,5
9,NA,NA,NA,NA
9,14,5,12,3
9,16,7,11,2
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,16,7,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,17,8,12,3
9,16,7,13,4
9,15,6,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,15,6,12,3
9,15,6,12,3
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,16,7,12,3
9,19,10,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,12,3
9,NA,NA,12,3
9,21,12,12,3
9,NA,NA,NA,NA
9,16,7,12,3
9,NA,NA,NA,NA
9,NA,NA,11,2
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,19,10,13,4
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
2,7,5,5,3
3,NA,NA,6,3
1,NA,NA,NA,NA
1,9,8,4,3
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,9,8,4,3
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,7,6,5,4
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,9,8,4,3
1,NA,NA,NA,NA
1,NA,NA,4,3
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,7,6,4,3
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,12,11
1,NA,NA,9,8
1,NA,NA,4,3
1,NA,NA,NA,NA
1,7,6,5,4
1,NA,NA,4,3
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,7,6
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,3,2
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
1,NA,NA,NA,NA
